TransactionID,CustomerID,TransactionDate,TransactionAmount,TransactionType,Currency,CounterpartyID,CounterpartyCountry,TransactionChannel,TransactionPurpose,FlagStatus
TRANS000001,CUST00392,2024-06-23,49342.98,Debit,USD,COUNTER3376,Macao,ATM,Personal,Yes
TRANS000002,CUST00312,2024-08-23,89134.76,Debit,EUR,COUNTER5054,Greece,ATM,Personal,Yes
TRANS000003,CUST00575,2024-05-13,8655.0,Credit,JPY,COUNTER6528,Korea,Branch,Personal,No
TRANS000004,CUST00825,2024-09-17,23329.96,Transfer,GBP,COUNTER3626,Sweden,Online,Business,Yes
TRANS000005,CUST00016,2024-03-30,2692.24,Credit,GBP,COUNTER5246,Kenya,Branch,Business,No
TRANS000006,CUST00437,2024-07-27,88802.64,Credit,USD,COUNTER7813,Peru,ATM,Business,Yes
TRANS000007,CUST00309,2024-11-24,57055.12,Credit,JPY,COUNTER7984,Micronesia,Online,Business,Yes
TRANS000008,CUST00108,2024-03-31,30544.3,Debit,EUR,COUNTER7400,Guernsey,Branch,Personal,Yes
TRANS000009,CUST00582,2024-01-17,40811.75,Credit,EUR,COUNTER9475,Montenegro,Online,Personal,Yes
TRANS000010,CUST00911,2024-04-16,19519.13,Debit,GBP,COUNTER8534,Jersey,ATM,Investment,Yes
TRANS000011,CUST00612,2024-01-13,4150.16,Debit,GBP,COUNTER8045,Central African Republic,Branch,Investment,No
TRANS000012,CUST00512,2024-09-07,58702.38,Debit,JPY,COUNTER1308,Armenia,Online,Investment,Yes
TRANS000013,CUST00711,2024-09-26,7880.5,Debit,EUR,COUNTER1383,Venezuela,ATM,Personal,No
TRANS000014,CUST00605,2024-10-23,53096.45,Credit,GBP,COUNTER2601,Bahrain,Branch,Business,Yes
TRANS000015,CUST00681,2024-04-03,71091.26,Credit,JPY,COUNTER2422,Ireland,Online,Business,Yes
TRANS000016,CUST00811,2024-08-01,80680.96,Debit,JPY,COUNTER4867,Tonga,Online,Business,Yes
TRANS000017,CUST00361,2024-05-28,19270.0,Credit,EUR,COUNTER9146,Denmark,Online,Business,Yes
TRANS000018,CUST00923,2024-01-30,18447.7,Debit,GBP,COUNTER1255,Azerbaijan,Online,Business,Yes
TRANS000019,CUST00839,2024-03-24,63261.66,Transfer,JPY,COUNTER9351,Anguilla,Branch,Personal,Yes
TRANS000020,CUST00435,2024-02-28,93181.21,Credit,JPY,COUNTER9819,Zambia,Online,Investment,Yes
TRANS000021,CUST00378,2024-07-19,10605.76,Debit,USD,COUNTER9170,Andorra,ATM,Personal,Yes
TRANS000022,CUST00089,2024-03-10,18493.59,Credit,JPY,COUNTER3026,French Guiana,ATM,Investment,Yes
TRANS000023,CUST00331,2024-04-27,11375.42,Credit,GBP,COUNTER5920,Ireland,Branch,Personal,Yes
TRANS000024,CUST00859,2024-06-15,54447.79,Debit,JPY,COUNTER4047,Martinique,Branch,Personal,Yes
TRANS000025,CUST00044,2024-11-12,33828.75,Credit,EUR,COUNTER5685,Holy See (Vatican City State),ATM,Personal,Yes
TRANS000026,CUST00532,2024-01-28,25247.14,Credit,USD,COUNTER4392,French Southern Territories,Online,Investment,Yes
TRANS000027,CUST00585,2024-11-26,95642.27,Credit,EUR,COUNTER8398,Jordan,ATM,Business,Yes
TRANS000028,CUST00521,2024-03-14,46041.53,Debit,JPY,COUNTER8918,Seychelles,Online,Business,Yes
TRANS000029,CUST00067,2024-02-02,42864.34,Credit,USD,COUNTER2369,Malaysia,ATM,Personal,Yes
TRANS000030,CUST00394,2024-06-26,69478.96,Transfer,JPY,COUNTER4089,Gibraltar,ATM,Business,Yes
TRANS000031,CUST00044,2024-04-21,31543.78,Credit,GBP,COUNTER5819,Latvia,Branch,Investment,Yes
TRANS000032,CUST00712,2024-04-21,957.89,Credit,USD,COUNTER3747,Saint Pierre and Miquelon,Branch,Business,No
TRANS000033,CUST00332,2024-04-10,40322.18,Debit,JPY,COUNTER4746,Jersey,Online,Business,Yes
TRANS000034,CUST00494,2024-04-11,80407.36,Debit,EUR,COUNTER1497,Comoros,ATM,Personal,Yes
TRANS000035,CUST00775,2024-07-05,27336.9,Transfer,JPY,COUNTER3014,Bangladesh,ATM,Business,Yes
TRANS000036,CUST00452,2024-02-07,40700.06,Debit,USD,COUNTER1131,Saint Kitts and Nevis,Online,Business,Yes
TRANS000037,CUST00006,2024-07-05,23006.28,Transfer,EUR,COUNTER3963,Philippines,ATM,Personal,Yes
TRANS000038,CUST00206,2024-06-26,42429.14,Transfer,USD,COUNTER3927,Tunisia,Online,Personal,Yes
TRANS000039,CUST00619,2024-10-02,70194.32,Debit,GBP,COUNTER5415,Italy,Branch,Business,Yes
TRANS000040,CUST00204,2024-12-03,7721.99,Credit,GBP,COUNTER4582,Afghanistan,Branch,Investment,No
TRANS000041,CUST00685,2024-05-26,1797.34,Debit,USD,COUNTER9717,Micronesia,ATM,Personal,No
TRANS000042,CUST00626,2024-04-01,53935.92,Debit,JPY,COUNTER8854,Grenada,Branch,Investment,Yes
TRANS000043,CUST00731,2024-01-05,95736.13,Transfer,JPY,COUNTER8587,French Guiana,Online,Investment,Yes
TRANS000044,CUST00827,2024-07-13,10789.62,Transfer,USD,COUNTER1630,Isle of Man,Online,Business,Yes
TRANS000045,CUST00619,2024-02-24,91617.82,Debit,EUR,COUNTER1395,San Marino,ATM,Personal,Yes
TRANS000046,CUST00448,2024-02-29,68281.91,Credit,JPY,COUNTER2483,Bolivia,Branch,Personal,Yes
TRANS000047,CUST00285,2024-08-03,87436.74,Debit,EUR,COUNTER5661,North Macedonia,Online,Investment,Yes
TRANS000048,CUST00032,2024-01-12,74990.99,Credit,JPY,COUNTER9998,Equatorial Guinea,Online,Investment,Yes
TRANS000049,CUST00972,2024-05-02,37474.1,Credit,EUR,COUNTER7517,French Southern Territories,ATM,Business,Yes
TRANS000050,CUST00104,2024-08-27,38365.32,Debit,USD,COUNTER5460,Turks and Caicos Islands,Online,Personal,Yes
TRANS000051,CUST00390,2024-01-09,57796.19,Transfer,EUR,COUNTER6274,Luxembourg,Online,Investment,Yes
TRANS000052,CUST00063,2024-03-22,36543.17,Debit,USD,COUNTER4888,Marshall Islands,Online,Business,Yes
TRANS000053,CUST00677,2024-03-07,16228.14,Transfer,USD,COUNTER9905,Switzerland,Online,Business,Yes
TRANS000054,CUST00535,2024-10-18,36304.22,Transfer,USD,COUNTER3630,Trinidad and Tobago,Branch,Personal,Yes
TRANS000055,CUST00936,2024-11-15,43772.65,Transfer,JPY,COUNTER3173,Turkey,ATM,Business,Yes
TRANS000056,CUST00920,2024-07-08,50483.69,Debit,EUR,COUNTER4092,Barbados,ATM,Personal,Yes
TRANS000057,CUST00135,2024-09-13,38552.36,Credit,EUR,COUNTER7694,Liberia,ATM,Business,Yes
TRANS000058,CUST00667,2024-01-19,30241.55,Credit,USD,COUNTER8174,Germany,ATM,Investment,Yes
TRANS000059,CUST00764,2024-03-13,81373.55,Credit,EUR,COUNTER6744,Barbados,Online,Personal,Yes
TRANS000060,CUST00268,2024-03-22,68847.46,Credit,GBP,COUNTER2391,Netherlands,Online,Investment,Yes
TRANS000061,CUST00225,2024-05-30,50429.12,Credit,GBP,COUNTER1125,Afghanistan,Online,Investment,Yes
TRANS000062,CUST00436,2024-05-08,86963.18,Credit,JPY,COUNTER9627,Liechtenstein,Branch,Investment,Yes
TRANS000063,CUST00046,2024-06-02,81344.79,Transfer,USD,COUNTER2881,Malawi,Online,Personal,Yes
TRANS000064,CUST00710,2024-06-16,41457.47,Transfer,USD,COUNTER7614,Guinea-Bissau,ATM,Investment,Yes
TRANS000065,CUST00721,2024-04-09,39027.93,Credit,JPY,COUNTER9788,Indonesia,ATM,Business,Yes
TRANS000066,CUST00483,2024-07-17,71173.41,Debit,USD,COUNTER5857,Isle of Man,ATM,Personal,Yes
TRANS000067,CUST00181,2024-02-15,65797.08,Credit,USD,COUNTER4117,Guinea-Bissau,Branch,Personal,Yes
TRANS000068,CUST00459,2024-11-06,87208.16,Credit,USD,COUNTER9353,Angola,Online,Personal,Yes
TRANS000069,CUST00100,2024-01-04,80644.49,Credit,JPY,COUNTER9996,British Virgin Islands,Branch,Investment,Yes
TRANS000070,CUST00202,2024-09-07,43987.2,Debit,EUR,COUNTER4814,United Arab Emirates,Online,Business,Yes
TRANS000071,CUST00138,2024-03-21,76848.53,Transfer,USD,COUNTER7957,Guam,ATM,Business,Yes
TRANS000072,CUST00540,2024-07-21,56068.64,Debit,JPY,COUNTER7497,Bangladesh,Branch,Business,Yes
TRANS000073,CUST00564,2024-01-18,33652.31,Transfer,USD,COUNTER2586,Martinique,ATM,Personal,Yes
TRANS000074,CUST00132,2024-02-17,33599.53,Credit,JPY,COUNTER5537,Armenia,Branch,Business,Yes
TRANS000075,CUST00185,2024-06-05,30857.89,Transfer,GBP,COUNTER1938,Central African Republic,Branch,Business,Yes
TRANS000076,CUST00533,2024-01-22,15123.26,Credit,JPY,COUNTER1677,Saint Lucia,Branch,Investment,Yes
